master_1   | INFO: 2022/11/29 21:50:33 master.go:1313: received message *net.TCPConn &{{0xc000123780}}
master_1   | INFO: 2022/11/29 21:50:33 master.go:477: Mapper job 1 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc000123880}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:477: Mapper job 0 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc000123980}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:477: Mapper job 2 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:495: Map task 22 completed.
master_1   | INFO: 2022/11/29 21:50:34 master.go:1104: Scheduling reducer task: 22
master_1   | INFO: 2022/11/29 21:50:34 master.go:844: Job 0 assigned to reducer c747fd0f439724057adf547be96117b2443abab2698d58c4f972ec4a639e1b9f
master_1   | INFO: 2022/11/29 21:50:34 master.go:844: Job 1 assigned to reducer 57149705fdbbcce1e59a66f9fd8a2c9e5a2e9e1f6a5895d379d79e7eff1a3d47
master_1   | INFO: 2022/11/29 21:50:34 master.go:844: Job 2 assigned to reducer 14e0bb6320f0bc3560cf197c2d73d1e1e7799c5c67405672750cd8c8f7e4fbbf
master_1   | INFO: 2022/11/29 21:50:34 master.go:844: Job 3 assigned to reducer 5c27183500655be73e1c56293154d8302595af50e6cd1175d80fd18b28ed69f1
master_1   | INFO: 2022/11/29 21:50:34 share.go:201: Sent reducer job 3 : [2] task 22
master_1   | INFO: 2022/11/29 21:50:34 share.go:201: Sent reducer job 0 : [3] task 22
master_1   | INFO: 2022/11/29 21:50:34 share.go:201: Sent reducer job 1 : [0] task 22
master_1   | INFO: 2022/11/29 21:50:34 share.go:201: Sent reducer job 2 : [1] task 22
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc00016cd00}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:1033: Reducer job 3 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc000123e00}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc00016cd80}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:1033: Reducer job 0 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1033: Reducer job 2 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1313: received message *net.TCPConn &{{0xc00016ce80}}
master_1   | INFO: 2022/11/29 21:50:34 master.go:1033: Reducer job 1 completed, task 22 .
master_1   | INFO: 2022/11/29 21:50:34 master.go:1052: Reducer task 22 completed.
master_1   | INFO: 2022/11/29 21:50:34 master.go:808: Fixpoint not found yet, new_task created
master_1   | INFO: 2022/11/29 21:50:34 master.go:813: key 0 value [8.362147374517376 7.862488803088798]
master_1   | INFO: 2022/11/29 21:50:34 master.go:813: key 1 value [0.1434301357200001 -0.07445086136000004]
master_1   | INFO: 2022/11/29 21:50:34 master.go:813: key 2 value [-0.16354270376569027 8.17348196652719]
master_1   | INFO: 2022/11/29 21:50:34 master.go:813: key 3 value [7.982697075098812 -0.4426022855335968]
